"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
"5995","10","1072","Santiago del Estero","-27.78300095","-64.26699829","-03:00","0","SDES"
"16713","10","1073","Ushuaia","-54.79999924","-68.30000305","-03:00","0","USHU"
"3350","10","1074","San Miguel de Tucuman","-26.81699944","-65.21700287","-03:00","0","SMDT"
"3335","11","1017","Vanadzor","40.799999237","44.490001678","+04:00","0","VANA"
"3333","11","1018","Gyumri","40.791599274","43.830001831","+04:00","0","GYUM"
"3334","11","1018","Spitak","40.795501709","44.270000458","+04:00","0","SPIT"
"3336","11","1022","Yerevan","40.183300018","44.5","+04:00","0","YERE"
"5998","12","549","Oranjestad","12.517000198","-70.03299713","-04:00","0","ORAN"
"14794","14","1","Ascot Vale","-37.78300095","144.91700745","+10:00","0","AVAL"
"18109","14","1","Bacchus Marsh","-37.68299866","144.44999695","+10:00","0","BMAR"
"14423","14","1","Bairnsdale","-37.83300018","147.61700439","+10:00","0","BAIR"
"12983","14","1","Ballarat","-37.56700134","143.8500061","+10:00","0","BALL"
"42314","14","1","Bayswater","-37.84999847","145.26699829","+10:00","0","BAYS"
"11780","14","1","Bendigo","-36.76699829","144.28300476","+10:00","0","BEND"
"3367","14","1","Berwick","-38.03300095","145.3500061","+10:00","0","BERW"
"18666","14","1","Boolarra","-38.38299942","146.26699829","+10:00","0","BOOL"
"15751","14","1","Bright","-36.75","146.96699524","+10:00","0","BRIG"
"6005","14","1","Cape Otway","-38.84999847","143.51699829","+10:00","0","COTW"
"16539","14","1","Castlemaine","-37.06700134","144.21699524","+10:00","0","CAST"
"3372","14","1","Chelsea","-38.04999924","145.11700439","+10:00","0","CHES"
"12187","14","1","Cheltenham","-37.96900177","145.04800415","+10:00","0","CHEL"
"12335","14","1","Cobram","-35.91699982","145.6499939","+10:00","0","COBR"
"17087","14","1","Dandenong","-37.98300171","145.19999695","+10:00","0","DAND"
"15332","14","1","Deer Park","-37.76699829","144.78300476","+10:00","0","DPAR"
"12768","14","1","Diamond Creek","-37.66699982","145.1499939","+10:00","0","DCRE"
"13653","14","1","Echuca","-36.13299942","144.75","+10:00","0","ECHU"
"18601","14","1","Eltham","-37.73300171","145.1499939","+10:00","0","ELTH"
"16049","14","1","Frankston","-38.13299942","145.11700439","+10:00","0","FRAN"
"12310","14","1","Geelong","-38.15800095","144.3500061","+10:00","0","GEEL"
"18860","14","1","Hamilton","-37.75","142.03300476","+10:00","0","HAMI"
"11871","14","1","Hawthorn","-37.83300018","145.03300476","+10:00","0","HAWT"
"17056","14","1","Horsham","-36.71699905","142.19999695","+10:00","0","HORS"
"13549","14","1","Hurstbridge","-37.65000153","145.21699524","+10:00","0","HURS"
"42067","14","1","Maryborough","-37.04999924","143.75","+10:00","0","MARY"
"1225","14","1","Melbourne","-37.81700134","144.96699524","+10:00","0","MELB"
"3390","14","1","Mildura","-34.20000076","142.1499939","+10:00","0","MILD"
"3392","14","1","Moe","-38.16699982","146.26699829","+10:00","0","MOE"
"15762","14","1","Mooroolbark","-37.78300095","145.30000305","+10:00","0","MOOR"
"15960","14","1","Mornington","-38.21699905","145.03300476","+10:00","0","MORN"
"13899","14","1","Morwell","-38.23300171","146.3999939","+10:00","0","MORW"
"15898","14","1","Narre Warren","-38.03300095","145.30000305","+10:00","0","NWAR"
"18602","14","1","Newstead","-37.11700058","144.06700134","+10:00","0","NEWS"
"16937","14","1","Noble Park","-37.96699905","145.16700745","+10:00","0","NPAR"
"42930","14","1","Northcote","-37.76890182","144.9980011","+10:00","0","NORT"
"15886","14","1","Nunawading","-37.81700134","145.16700745","+10:00","0","NUNA"
"15576","14","1","Portland","-38.33300018","141.6000061","+10:00","0","PORT"
"12876","14","1","Prahran","-37.84999847","145","+10:00","0","PRAH"
